order_id,worker_id,estimated_profit
36381,2353,44.51025
36381,2679,45.6244
36381,2971,45.63508
36381,3026,44.22215
36381,3036,43.24423
36381,3114,45.406
36381,3121,45.61132
36381,3124,42.78439
36381,3363,44.54072
36381,3364,45.31634
36381,3562,45.59666
36381,3970,44.19043
36381,3986,44.6426
36381,4044,40.26769
36381,4244,45.81173
36381,1048,42.60046
46163,58,45.2161
46163,110,45.24163
46163,149,46.29536
46163,411,45.49563
46163,475,46.57456
46163,770,46.44817
46163,772,45.98359
46163,813,45.90005
46163,935,46.24319
46163,976,42.78847
46163,1057,42.61978
46163,1072,46.39332
46163,1096,45.16923
46163,1121,46.57532
46163,1279,46.69363
46163,1339,46.66024
46163,1493,43.02796
46163,1511,46.46837
46163,1534,41.65589
46163,1751,45.28094
46163,1886,45.15285
46163,2129,44.45698
46163,2253,46.65977
46163,2318,46.59947
46163,2353,46.11422
46163,2679,45.17803
46163,2971,45.19919
46163,3026,46.02421
46163,3036,44.77258
46163,3114,45.49053
46163,3121,45.13902
46163,3124,42.8172
46163,3363,46.69097
46163,3364,45.12564
46163,3562,45.13968
46163,3970,46.07958
46163,3986,45.84725
46163,4044,40.44537
46163,4244,45.37013
46163,1048,44.6359
58562,58,42.46892
58562,110,42.44473
58562,149,41.05554
58562,411,42.02531
58562,475,41.12356
58562,770,41.12209
58562,772,41.05033
58562,813,40.97097
58562,935,40.79505
58562,976,44.41431
58562,1057,41.88574
58562,1072,41.12385
58562,1096,40.37067
58562,1121,41.11488
58562,1279,41.13509
58562,1339,41.14132
58562,1493,43.83273
58562,1511,41.10888
58562,1534,42.91756
58562,1751,42.29053
58562,1886,42.54483
58562,2129,42.89543
58562,2253,41.13391
58562,2318,41.11428
58562,2353,41.02908
58562,2679,42.50278
58562,2971,42.47861
58562,3026,41.0896
58562,3036,40.67846
58562,3114,42.03369
58562,3121,42.56277
58562,3124,42.85261
58562,3363,41.11628
58562,3364,42.27247
58562,3562,42.54102
58562,3970,41.01766
58562,3986,41.19483
58562,4044,40.6017
58562,4244,42.4283
58562,1048,39.59663
39217,58,42.00142
39217,110,41.99161
39217,149,41.20076
39217,411,41.62915
39217,475,41.43542
39217,770,41.34867
39217,772,40.99898
39217,813,40.89456
39217,935,41.04012
39217,976,43.11243
39217,1057,45.66212
39217,1072,41.31353
39217,1096,40.11136
39217,1121,41.42901
39217,1279,41.5337
39217,1339,41.51314
39217,1493,42.33066
39217,1511,41.35217
39217,1534,41.8838
39217,1751,41.79381
39217,1886,42.0541
39217,2129,41.89511
39217,2253,41.50499
39217,2318,41.44509
39217,2353,41.0665
39217,2679,42.01221
39217,2971,41.99695
39217,3026,42.06731
39217,3036,42.77922
39217,3114,41.63563
