order_id,worker_id,service_time,t_p,t_d,t_w
57704,1367,19.83118,3.84984,15.98135,0
57704,1628,16.6164,0.63506,15.98135,0
57704,1892,19.58924,3.60789,15.98135,0
57704,1991,22.01865,6.0373,15.98135,0
29232,149,13.28284,5.69721,7.58563,0
29232,182,13.47241,5.88678,7.58563,0
29232,191,13.38903,5.8034,7.58563,0
29232,210,13.43279,5.84716,7.58563,0
29232,443,12.18111,4.59548,7.58563,0
29232,475,12.5083,4.92267,7.58563,0
29232,708,13.37281,5.78718,7.58563,0
29232,813,13.42592,5.84029,7.58563,0
29232,835,9.99492,2.40929,7.58563,0
29232,878,13.30628,5.72065,7.58563,0
29232,965,8.4712,0.88557,7.58563,0
29232,1125,13.4449,5.85927,7.58563,0
29232,1216,9.95074,2.36511,7.58563,0
29232,1219,12.03771,4.45208,7.58563,0
29232,1261,13.3882,5.80257,7.58563,0
29232,1348,13.47282,5.88719,7.58563,0
29232,1367,13.64128,6.05565,7.58563,0
29232,1628,13.1065,5.52087,7.58563,0
29232,1892,12.50336,4.91773,7.58563,0
29232,1991,10.06858,2.48295,7.58563,0
51624,149,29.10245,5.71149,23.39096,0
51624,182,29.29573,5.90477,23.39096,0
51624,191,29.21203,5.82106,23.39096,0
51624,210,29.25985,5.86888,23.39096,0
51624,443,27.93503,4.54407,23.39096,0
51624,475,28.27648,4.88552,23.39096,0
51624,708,29.19229,5.80133,23.39096,0
51624,813,29.24473,5.85376,23.39096,0
51624,835,25.74496,2.35399,23.39096,0
51624,878,29.12547,5.7345,23.39096,0
51624,965,24.21536,0.82439,23.39096,0
51624,1125,29.24782,5.85685,23.39096,0
51624,1216,25.68898,2.29801,23.39096,0
51624,1219,27.79455,4.40358,23.39096,0
51624,1261,29.20623,5.81527,23.39096,0
51624,1348,29.29457,5.90361,23.39096,0
51624,1367,29.42689,6.03593,23.39096,0
51624,1628,28.93608,5.54512,23.39096,0
51624,1892,28.28998,4.89902,23.39096,0
51624,1991,25.81805,2.42709,23.39096,0
54618,149,19.84885,5.47735,14.3715,0
54618,182,20.05323,5.68173,14.3715,0
54618,191,19.96859,5.59709,14.3715,0
54618,210,20.02966,5.65816,14.3715,0
54618,443,18.64296,4.27145,14.3715,0
54618,475,18.95937,4.58787,14.3715,0
54618,708,19.93826,5.56676,14.3715,0
54618,813,19.98869,5.61718,14.3715,0
54618,835,16.46859,2.09709,14.3715,0
54618,878,19.87061,5.49911,14.3715,0
54618,965,15.25129,0.87979,14.3715,0
54618,1125,19.9542,5.58269,14.3715,0
54618,1216,16.53043,2.15892,14.3715,0
54618,1219,18.88179,4.51029,14.3715,0
54618,1261,19.94803,5.57652,14.3715,0
54618,1348,20.04722,5.67572,14.3715,0
54618,1367,20.1104,5.7389,14.3715,0
54618,1628,19.71507,5.34357,14.3715,0
54618,1892,18.97439,4.60288,14.3715,0
54618,1991,16.54405,2.17254,14.3715,0
60871,149,5.72161,0.89937,4.82225,0
60871,182,5.34217,0.51992,4.82225,0
60871,191,5.40924,0.58699,4.82225,0
60871,210,5.13492,0.31267,4.82225,0
60871,443,11.07004,6.2478,4.82225,0
60871,475,9.89929,5.07704,4.82225,0
60871,708,5.69611,0.87386,4.82225,0
60871,813,5.73719,0.91495,4.82225,0
60871,835,10.81372,5.99148,4.82225,0
60871,878,5.74537,0.92313,4.82225,0
60871,965,11.60331,6.78106,4.82225,0
60871,1125,7.11408,2.29184,4.82225,0
60871,1216,11.91875,7.09651,4.82225,0
60871,1219,15.13496,10.31272,4.82225,0
60871,1261,5.81302,0.99077,4.82225,0
60871,1348,5.47153,0.64928,4.82225,0
60871,1367,8.67209,3.84984,4.82225,0
60871,1628,5.4573,0.63506,4.82225,0
60871,1892,8.43014,3.60789,4.82225,0
60871,1991,10.85955,6.0373,4.82225,0
57791,149,20.43681,0.47482,19.96199,0
57791,182,20.06769,0.1057,19.96199,0
57791,191,20.15531,0.19332,19.96199,0
57791,210,20.28372,0.32173,19.96199,0
57791,443,25.80968,5.84768,19.96199,0
57791,475,24.61954,4.65755,19.96199,0
57791,708,20.40172,0.43973,19.96199,0
57791,813,20.44076,0.47877,19.96199,0
57791,835,25.64406,5.68207,19.96199,0
57791,878,20.45553,0.49354,19.96199,0
57791,965,26.5409,6.57891,19.96199,0
57791,1125,21.82049,1.8585,19.96199,0
57791,1216,26.77039,6.8084,19.96199,0
57791,1219,30.03056,10.06857,19.96199,0
57791,1261,20.51661,0.55462,19.96199,0
57791,1348,20.17601,0.21402,19.96199,0
57791,1367,23.37694,3.41495,19.96199,0
57791,1628,20.64976,0.68777,19.96199,0
57791,1892,23.14639,3.1844,19.96199,0
57791,1991,25.6863,5.72431,19.96199,0
9981,149,12.41869,0.79934,11.61935,0
9981,182,12.04272,0.42336,11.61935,0
9981,191,12.10323,0.48388,11.61935,0
9981,210,11.82192,0.20257,11.61935,0
9981,443,17.75674,6.13739,11.61935,0
9981,475,16.59044,4.97108,11.61935,0
9981,708,12.39936,0.78001,11.61935,0
9981,813,12.4458,0.82645,11.61935,0
9981,835,17.49819,5.87884,11.61935,0
9981,878,12.44477,0.82542,11.61935,0
9981,965,18.29739,6.67804,11.61935,0
9981,1125,13.82808,2.20873,11.61935,0
9981,1216,18.60451,6.98516,11.61935,0
9981,1219,21.82469,10.20533,11.61935,0
9981,1261,12.51998,0.90063,11.61935,0
9981,1348,12.17801,0.55865,11.61935,0
9981,1367,15.38324,3.76389,11.61935,0
9981,1628,12.17427,0.55492,11.61935,0
9981,1892,15.12303,3.50368,11.61935,0
9981,1991,17.54386,5.92451,11.61935,0
10005,149,23.66357,0.47482,23.18875,0
10005,182,23.29445,0.1057,23.18875,0
10005,191,23.38207,0.19332,23.18875,0
10005,210,23.51048,0.32173,23.18875,0
10005,443,29.03643,5.84768,23.18875,0
10005,475,27.8463,4.65755,23.18875,0
10005,708,23.62848,0.43973,23.18875,0
10005,813,23.66752,0.47877,23.18875,0
10005,835,28.87082,5.68207,23.18875,0
10005,878,23.68229,0.49354,23.18875,0
10005,965,29.76766,6.57891,23.18875,0
10005,1125,25.04725,1.8585,23.18875,0
10005,1216,29.99715,6.8084,23.18875,0
10005,1219,33.25732,10.06857,23.18875,0
10005,1261,23.74337,0.55462,23.18875,0
10005,1348,23.40277,0.21402,23.18875,0
10005,1367,26.6037,3.41495,23.18875,0
10005,1628,23.87652,0.68777,23.18875,0
10005,1892,26.37315,3.1844,23.18875,0
10005,1991,28.91306,5.72431,23.18875,0
3189,149,17.55073,0.47482,17.07591,0
3189,182,17.18161,0.1057,17.07591,0
3189,191,17.26923,0.19332,17.07591,0
3189,210,17.39764,0.32173,17.07591,0
3189,443,22.92359,5.84768,17.07591,0
3189,475,21.73346,4.65755,17.07591,0
3189,708,17.51564,0.43973,17.07591,0
3189,813,17.55468,0.47877,17.07591,0
3189,835,22.75798,5.68207,17.07591,0
3189,878,17.56945,0.49354,17.07591,0
3189,965,23.65481,6.57891,17.07591,0
3189,1125,18.93441,1.8585,17.07591,0
3189,1216,23.8843,6.8084,17.07591,0
3189,1219,27.14448,10.06857,17.07591,0
3189,1261,17.63053,0.55462,17.07591,0
3189,1348,17.28992,0.21402,17.07591,0
3189,1367,20.49086,3.41495,17.07591,0
3189,1628,17.76368,0.68777,17.07591,0
3189,1892,20.26031,3.1844,17.07591,0
3189,1991,22.80022,5.72431,17.07591,0
22611,149,11.8182,5.47735,6.34085,0
22611,182,12.02258,5.68173,6.34085,0
22611,191,11.93794,5.59709,6.34085,0
22611,210,11.99901,5.65816,6.34085,0
22611,443,10.6123,4.27145,6.34085,0
22611,475,10.92872,4.58787,6.34085,0
22611,708,11.90761,5.56676,6.34085,0
22611,813,11.95803,5.61718,6.34085,0
22611,835,8.43794,2.09709,6.34085,0
22611,878,11.83996,5.49911,6.34085,0
22611,965,7.22064,0.87979,6.34085,0
22611,1125,11.92355,5.58269,6.34085,0
22611,1216,8.49977,2.15892,6.34085,0
22611,1219,10.85114,4.51029,6.34085,0
22611,1261,11.91737,5.57652,6.34085,0
22611,1348,12.01657,5.67572,6.34085,0
22611,1367,12.07975,5.7389,6.34085,0
22611,1628,11.68442,5.34357,6.34085,0
22611,1892,10.94374,4.60288,6.34085,0
22611,1991,8.51339,2.17254,6.34085,0
