order_id,worker_id,estimated_profit
58590,935,10.25992
58590,976,6.78996
58590,1057,6.63934
58590,1072,10.39438
58590,1096,9.17912
58590,1121,10.57603
58590,1279,10.68893
58590,1339,10.65641
58590,1493,7.02635
58590,1511,10.47005
58590,1534,5.65408
58590,1751,9.27696
58590,1886,9.15025
58590,2129,8.45341
58590,2253,10.65662
58590,2318,10.59995
58590,2353,10.11803
58590,2679,9.17519
58590,2971,9.19627
58590,3026,10.06184
58590,3036,8.81127
58590,3114,9.48597
58590,3121,9.1365
58590,3124,6.83045
58590,3363,10.68844
58590,3364,9.12114
58590,3562,9.13691
58590,3970,10.11957
58590,3986,9.84683
58590,4044,4.46323
58590,4244,9.36895
58590,1048,8.68344
3975,58,10.47533
3975,110,10.50116
3975,149,11.84826
3975,411,10.86859
3975,475,11.56407
3975,770,11.68799
3975,772,11.68623
3975,813,11.60667
3975,935,11.63754
3975,976,7.93586
3975,1057,7.40719
3975,1072,11.73887
3975,1096,10.84773
3975,1121,11.56552
3975,1279,11.43339
3975,1339,11.46823
3975,1493,8.28382
3975,1511,11.67208
3975,1534,6.93069
3975,1751,10.60739
3975,1886,10.40158
3975,2129,9.78944
3975,2253,11.47329
3975,2318,11.54164
3975,2353,11.82087
3975,2679,10.43806
3975,2971,10.46201
3975,3026,10.66725
3975,3036,9.41511
3975,3114,10.86118
3975,3121,10.38465
3975,3124,7.69864
3975,3363,11.44866
3975,3364,10.51313
3975,3562,10.39799
3975,3970,10.72247
3975,3986,11.51345
3975,4044,5.26241
3975,4244,10.54154
3975,1048,9.3608
36381,58,10.65301
36381,110,10.66871
36381,149,9.53626
36381,411,10.39909
36381,475,9.57238
36381,770,9.59026
36381,772,9.52167
36381,813,9.43495
36381,935,9.2728
36381,976,8.2315
36381,1057,7.2871
36381,1072,9.59793
36381,1096,8.75022
36381,1121,9.56386
36381,1279,9.55575
36381,1339,9.57033
36381,1493,8.51955
36381,1511,9.57465
36381,1534,7.1475
36381,1751,10.52713
